"","party","parlgov_party_id","country_name_short","country_name","party_name_short","party_name_english","party_name","party_name_ascii","family_name_short","family_name","left_right","state_market","liberty_authority","eu_anti_pro","cmp","euprofiler","ees","castles_mair","huber_inglehart","ray","benoit_laver","chess","country_id","family_id"
"1","50PLUS",2109,"NLD","Netherlands","50+","50PLUS","50PLUS","50PLUS","lib","Liberal",6,6.7,3.5,8.7,NA,NA,NA,NA,NA,NA,NA,NA,8,6
"2","Aarden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AOV",112,"NLD","Netherlands","AOV|VSP","General Senior Union | United Seniors Party","Algemeen Ouderen Verbond | Verenigde Senioren Partij","Algemeen Ouderen Verbond | Verenigde Senioren Partij","spec","Special issue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,16
"4","ARP",300,"NLD","Netherlands","ARP","Anti-Revolutionary Party","Anti-Revolutionaire Partij","Anti-Revolutionaire Partij","chr","Christian democracy",5.8067,5.6933,6.7724,8.2894,22523,NA,NA,NA,NA,1001,NA,1001,8,3
"5","Bontes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Bontes/Van Klaveren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BP",1595,"NLD","Netherlands","Bp","Farmers Party","Boerenpartij","Boerenpartij","agr","Agrarian",5.3,4.9,6.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,8,2
"8","Brinkman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","CD",209,"NLD","Netherlands","CD","Centre Democrats","Centrum Democraten","Centrum Democraten","right","Right-wing",9.4097,8.5714,9.25,1.312,NA,NA,NA,NA,2609,1009,NA,1009,8,40
"10","CDA",235,"NLD","Netherlands","CDA","Christian Democratic Appeal","Christen Democratisch Appèl","Christen Democratisch Appel","chr","Christian democracy",5.9376,5.8848,6.6882,7.7157,22521,293,1528521,1106,2604,1001,7040,1001,8,3
"11","CDU",2542,"NLD","Netherlands","CDU","Christian Democratic Union","Christelijk-Democratische Unie","Christelijk-Democratische Unie","chr","Christian democracy",6.2,5.7,7.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,8,3
"12","Centrumpartij",275,"NLD","Netherlands","CP","Centre Party","Centrumpartij","Centrumpartij","right","Right-wing",8.7,5.9,8.6,2.4,NA,NA,NA,NA,NA,NA,NA,NA,8,40
"13","ChristenUnie",1206,"NLD","Netherlands","CU","ChristianUnion -- Reformed Political Party","ChristenUnie – Staatkundig Gereformeerde Partij","ChristenUnie -- Staatkundig Gereformeerde Partij","chr","Christian democracy",6.1732,4.6769,8.6005,4.4157,22526,294,1528526,NA,NA,NA,7060,1016,8,3
"14","CHU",405,"NLD","Netherlands","CHU","Christian Historical Union","Christelijk-Historische Unie","Christelijk-Historische Unie","chr","Christian democracy",5.8067,5.6933,6.7724,8.2894,22525,NA,NA,NA,NA,1001,NA,1001,8,3
"15","CPN",1194,"NLD","Netherlands","CPN","Communist Party of the Netherlands","Communistische Partij Nederland","Communistische Partij Nederland","com","Communist/Socialist",0.8,1.4,3,5,NA,NA,NA,1102,NA,1012,NA,NA,8,14
"16","D66",345,"NLD","Netherlands","D66","Democrats 66","Democraten 66","Democraten 66","lib","Liberal",4.5066,4.9917,1.7625,8.6233,22330,295,1528330,1105,2603,1004,7080,1004,8,6
"17","De Jong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","DS70",402,"NLD","Netherlands","DS70","Democratic Socialists 70","Democratisch Socialisten 70","Democratisch Socialisten 70","con","Conservative",3.8433,3.9133,3.5288,8.4641,22524,NA,NA,NA,NA,NA,NA,1002,8,26
"19","Eerdmans/Van Schijndel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","EVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Goedhart",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Gortzak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","GPV",625,"NLD","Netherlands","GPV","Reformed Political League","Gereformeerd Politiek Verbond","Gereformeerd Politiek Verbond","con","Conservative",8.1444,5.8,8.6364,3.4848,NA,NA,NA,1108,2606,1007,NA,1007,8,26
"24","GroenLinks",756,"NLD","Netherlands","GL","GreenLeft","GroenLinks","GroenLinks","eco","Green/Ecologist",2.0454,2.1108,1.644,6.1973,22110,297,1528110,NA,2601,1005,7100,1005,8,19
"25","Harmsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Hendriks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Houwers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Huijsen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Janmaat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Klein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","KNP",3,"NLD","Netherlands","KNP","Catholic National Party","Katholieke Nationale Partij","Katholieke Nationale Partij","chr","Christian democracy",6.2,5.7,7.2,8.3,NA,NA,NA,NA,NA,NA,NA,NA,8,3
"32","Koekoek",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Kortenoeven/Hernandez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","KPN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Kronenburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Kuzu/Ozturk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","KVP",451,"NLD","Netherlands","KVP","Catholic Peoples Party","Katholieke Volkspartij","Katholieke Volkspartij","chr","Christian democracy",5.9473,5.8848,6.6882,7.7157,22522,NA,NA,1106,NA,1001,7040,1001,8,3
"38","Lazrak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
